Hotel Name,Description Heading,Description,Price,Image URL,Location,Rating,Review Count
INNSiDE by Meliá New York Nomad,Description heading not available,Description not available,CA $583,https://images.trvl-media.com/lodging/13000000/12630000/12628000/12627948/d5cc792e.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.0 out of 10,(1,992 reviews),(1,992 reviews)
The Gallivant Times Square,Description heading not available,Description not available,CA $445,https://images.trvl-media.com/lodging/1000000/10000/5100/5086/615e4d39.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,6.4 out of 10,(2,749 reviews),(2,749 reviews)
Even Hotel New York - Times Square South, an IHG Hotel,Description heading not available,Description not available,CA $541,https://images.trvl-media.com/lodging/11000000/10220000/10215200/10215116/a4620200.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.2 out of 10,(1,009 reviews),(1,009 reviews)
Hyatt Place New York City/Times Square,Description heading not available,Description not available,CA $562,https://images.trvl-media.com/lodging/38000000/37850000/37842600/37842570/0e45e022.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(1,480 reviews),(1,480 reviews)
Best Western Plus Hospitality House,Description heading not available,Description not available,CA $689,https://images.trvl-media.com/lodging/1000000/890000/888700/888641/74b10e64.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,001 reviews),(1,001 reviews)
Motto By Hilton New York City Times Square,Description heading not available,Description not available,CA $542,https://images.trvl-media.com/lodging/92000000/91340000/91334200/91334200/c5c48393.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,9.0 out of 10,(757 reviews),(757 reviews)
Crowne Plaza Times Square Manhattan, an IHG Hotel,Description heading not available,Description not available,CA $537,https://images.trvl-media.com/lodging/1000000/30000/25000/24954/fee41205.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,8.2 out of 10,(1,986 reviews),(1,986 reviews)
Sofitel New York,Description heading not available,Description not available,CA $882,https://images.trvl-media.com/lodging/1000000/310000/306100/306019/19c15048.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,8.8 out of 10,(1,012 reviews),(1,012 reviews)
Motto by Hilton New York City Chelsea,Description heading not available,Description not available,CA $645,https://images.trvl-media.com/lodging/69000000/68110000/68102900/68102889/3d916de4.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.0 out of 10,(1,023 reviews),(1,023 reviews)
Aloft Harlem,Description heading not available,Description not available,CA $367,https://images.trvl-media.com/lodging/4000000/3880000/3878800/3878796/217dc17f.jpg?impolicy=resizecrop&rw=455&ra=fit,Harlem,8.4 out of 10,(1,000 reviews),(1,000 reviews)
The Plaza - A Fairmont Managed Hotel,Description heading not available,Description not available,CA $1,286,https://images.trvl-media.com/lodging/1000000/30000/28100/28044/d27c1d6f.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,9.0 out of 10,(1,002 reviews),(1,002 reviews)
Motto by Hilton New York City Chelsea,Description heading not available,Description not available,CA $645,https://images.trvl-media.com/lodging/69000000/68110000/68102900/68102889/3d916de4.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.0 out of 10,(1,023 reviews),(1,023 reviews)
Selina Chelsea,Description heading not available,Description not available,CA $888,https://images.trvl-media.com/lodging/5000000/4340000/4339600/4339531/8bf050ab.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,7.6 out of 10,(607 reviews),(607 reviews)
Royalton Park Avenue,Description heading not available,Description not available,CA $750,https://images.trvl-media.com/lodging/4000000/3580000/3573000/3572938/682d02a7.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,012 reviews),(1,012 reviews)
Ink 48 Hotel,Description heading not available,Description not available,CA $791,https://images.trvl-media.com/lodging/3000000/2240000/2238900/2238808/9d73d099.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,010 reviews),(1,010 reviews)
Aloft Harlem,Description heading not available,Description not available,CA $367,https://images.trvl-media.com/lodging/4000000/3880000/3878800/3878796/217dc17f.jpg?impolicy=resizecrop&rw=455&ra=fit,Harlem,8.4 out of 10,(1,000 reviews),(1,000 reviews)
Mandarin Oriental, New York,Description heading not available,Description not available,CA $2,160,https://images.trvl-media.com/lodging/1000000/920000/916400/916343/5482d240.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.2 out of 10,(464 reviews),(464 reviews)
voco Times Square South New York, an IHG Hotel,Description heading not available,Description not available,CA $570,https://images.trvl-media.com/lodging/3000000/2180000/2170800/2170796/9b5362a0.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,005 reviews),(1,005 reviews)
The Frederick Hotel,Description heading not available,Description not available,CA $985,https://images.trvl-media.com/lodging/1000000/50000/41900/41823/dc179913.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,007 reviews),(1,007 reviews)
Hilton Garden Inn New York/West 35th Street,Description heading not available,Description not available,CA $657,https://images.trvl-media.com/lodging/3000000/2370000/2366900/2366813/82afe64b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.0 out of 10,(1,998 reviews),(1,998 reviews)
Hilton Garden Inn New York/Tribeca,Description heading not available,Description not available,CA $748,https://images.trvl-media.com/lodging/2000000/1600000/1590100/1590035/dc3890ea.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,007 reviews),(1,007 reviews)
InterContinental New York Barclay, an IHG Hotel,Description heading not available,Description not available,CA $807,https://images.trvl-media.com/lodging/1000000/30000/20600/20571/2867c764.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,006 reviews),(1,006 reviews)
Delta Hotels by Marriott New York Times Square,Description heading not available,Description not available,CA $560,https://images.trvl-media.com/lodging/47000000/46180000/46178200/46178156/b2d32982.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.8 out of 10,(501 reviews),(501 reviews)
Homewood Suites New York/Midtown Manhattan Times Square,Description heading not available,Description not available,CA $766,https://images.trvl-media.com/lodging/7000000/6840000/6830200/6830159/99e6b7df.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,170 reviews),(1,170 reviews)
Thompson Central Park New York, by Hyatt,Description heading not available,Description not available,CA $4,552,https://images.trvl-media.com/lodging/22000000/21430000/21429600/21429545/0562f5f6.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.0 out of 10,(568 reviews),(568 reviews)
Hilton Garden Inn New York/Manhattan-Midtown East,Description heading not available,Description not available,CA $683,https://images.trvl-media.com/lodging/8000000/7370000/7362500/7362466/a29c6c7d.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.0 out of 10,(1,247 reviews),(1,247 reviews)
Hampton Inn Madison Square Garden Area Hotel,Description heading not available,Description not available,CA $620,https://images.trvl-media.com/lodging/2000000/1270000/1265400/1265326/cb9eb2b9.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,8.2 out of 10,(1,034 reviews),(1,034 reviews)
Renaissance New York Midtown Hotel,Description heading not available,Description not available,CA $871,https://images.trvl-media.com/lodging/12000000/11670000/11668500/11668428/13140eed.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.2 out of 10,(1,017 reviews),(1,017 reviews)
Courtyard New York Manhattan/ Midtown East,Description heading not available,Description not available,CA $726,https://images.trvl-media.com/lodging/1000000/160000/151300/151297/77b74595.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,958 reviews),(1,958 reviews)
